Position_X1,Position_Y1,Position_X2,Position_Y2,Position_X3,Position_Y3,Velocity_X1,Velocity_Y1,Velocity_X2,Velocity_Y2,Velocity_X3,Velocity_Y3,Momentum_X1,Momentum_Y1,Momentum_X2,Momentum_Y2,Momentum_X3,Momentum_Y3
99814198678.88527,9894063711.344288,-99999999437.62239,-9899999975.416239,6478012267.528527,149817017204.53986,-1090.7628658799395,29947.738742674854,0.003301012252618183,-29999.999804112074,19296.71290932813,-1054.9378367088839,-6.514035835034999e+27,1.7884789577125425e+29,6.565713370457567e+27,-5.966999961037891e+34,1.417922464577431e+27,-7.751683224136879e+25
99802963388.15729,10193508639.812391,-99999999403.62108,-10199999973.348827,6670779551.338466,149806168055.9036,-1123.5290727987724,29944.49284681043,0.0034001315340969522,-29999.99979325878,19276.728380993878,-1084.9148636267482,-6.70971562275427e+27,1.788285112811519e+29,6.762861621318837e+27,-5.966999958879171e+34,1.4164540014354302e+27,-7.971954417929346e+25
99791400692.5655,10492920150.703875,-99999999368.62936,-10499999971.170044,6863347711.508803,149795020219.4534,-1156.2695591774145,29941.151089148254,0.0034991709233161772,-29999.999782121657,19256.81601703379,-1114.7836450192808,-6.90524180740752e+27,1.7880855430439337e+29,6.959850966475876e+27,-5.966999956663998e+34,1.414990840931643e+27,-8.191430223601675e+25
99779510856.66853,10792297287.607372,-99999999332.64809,-10799999968.877058,7055717465.042202,149783574770.68283,-1188.983589697642,29937.713690349796,0.0035981282296183533,-29999.999770701343,19236.97535333987,-1144.5448770561345,-7.100609997674319e+27,1.78788026158769e+29,7.156677048710904e+27,-5.966999954392497e+34,1.4135329489634134e+27,-8.410115756608477e+25
99767294152.34865,11091639096.378298,-99999999295.67807,-11099999966.467043,7247889524.3429165,149771832778.18777,-1221.6704319888147,29934.1808770926,0.003697001271038487,-29999.999758998496,19217.20593007146,-1174.199249506013,-7.295815819837202e+27,1.7876692819799702e+29,7.35333552809555e+27,-5.966999952064801e+34,1.4120802917416509e+27,-8.628016085370184e+25
99754750858.7816,11390944625.19859,-99999999257.72018,-11399999963.937181,7439864597.25896,149759795303.72964,-1254.3293567041865,29930.552882029067,0.003795787874535101,-29999.999747013786,19197.507291604325,-1203.7474458130773,-7.490854918237402e+27,1.787452618114776e+29,7.549822082450316e+27,-5.966999949681042e+34,1.4106328357870856e+27,-8.845136231834491e+25
99741881262.40564,11690212924.636032,-99999999218.77533,-11699999961.28466,7631643387.123764,149747463402.2979,-1286.9596375964459,29926.829943744247,0.0038944858762189,-29999.999734747904,19177.878986480446,-1233.1901431722308,-7.685722955725975e+27,1.7872302842404066e+29,7.746132407799391e+27,-5.966999947241357e+34,1.409190547926583e+27,-9.061481172029552e+25
99728685656.88971,11989443047.70316,-99999999178.84439,-11999999958.506676,7823226592.79735,149734838122.17188,-1319.5605515924694,29923.012306712648,0.003993093121579045,-29999.999722201563,19158.320567358565,-1262.5280126033058,-7.880415614110228e+27,1.7870022949568793e+29,7.94226221882072e+27,-5.96699994474589e+34,1.4077533952895075e+27,-9.27705583660909e+25
99715164343.10104,12288634049.9157,-99999999137.92831,-12299999955.600431,8014614908.707005,149721920504.98163,-1352.131378867271,29919.100221254073,0.004091607465706989,-29999.999709375486,19138.831590965463,-1291.7617190241663,-8.074928594595343e+27,1.7867686652132933e+29,8.138207249291202e+27,-5.966999942194784e+34,1.4063213453041422e+27,-9.491865111389573e+25
99701317629.07187,12587784989.350586,-99999999096.02805,-12599999952.563135,8205809024.887484,149708711585.7684,-1384.671402917131,29915.09394348852,0.004190026773517821,-29999.99969627042,19119.41161804792,-1320.8919213227489,-8.269257618221106e+27,1.7865294103051344e+29,8.333963252526946e+27,-5.966999939588186e+34,1.404894365694161e+27,-9.705913837879558e+25
